type	id	tree
run	SRR34631292	notree
run	SRR34631281	notree
run	SRR34631271	notree
run	SRR34631270	notree
run	SRR34631269	notree
run	SRR34631268	notree
run	SRR34631267	notree
run	SRR34631266	notree
run	SRR34631297	notree
run	SRR34631296	notree
run	SRR34631295	notree
run	SRR34631294	notree
run	SRR34631293	notree
run	SRR34631291	notree
run	SRR34631290	notree
run	SRR34631289	notree
run	SRR34631288	notree
run	SRR34631287	notree
run	SRR34631286	notree
run	SRR34631285	notree
run	SRR34631284	notree
run	SRR34631283	notree
run	SRR34631282	notree
run	SRR34631280	notree
run	SRR34631279	notree
run	SRR34631278	notree
run	SRR34631277	notree
run	SRR34631276	notree
run	SRR34631275	notree
run	SRR34631274	notree
run	SRR34631273	notree
run	SRR34631272	notree
run	SRR34719767	notree
run	SRR34719766	notree
run	SRR34719764	notree
run	SRR34719763	notree
run	SRR34719762	notree
run	SRR34719761	notree
run	SRR34719760	notree
run	SRR34719759	notree
run	SRR34719758	notree
run	SRR34719757	notree
run	SRR34719765	notree
run	SRR34797665	notree
run	SRR34797664	notree
run	SRR34797656	notree
run	SRR34797655	notree
run	SRR34797654	notree
run	SRR34797653	notree
run	SRR34797652	notree
run	SRR34797651	notree
run	SRR34797650	notree
run	SRR34797649	notree
run	SRR34797663	notree
run	SRR34797662	notree
run	SRR34797661	notree
run	SRR34797660	notree
run	SRR34797659	notree
run	SRR34797658	notree
run	SRR34797657	notree
run	SRR34016175	notree
run	SRR34016180	notree
run	SRR34016177	notree
run	SRR34016176	notree
run	SRR34016174	notree
run	SRR34016183	notree
run	SRR34016182	notree
run	SRR34016181	notree
run	SRR34016179	notree
run	SRR34016178	notree
run	SRR34354348	notree
run	SRR34354349	notree
run	SRR34354337	notree
run	SRR34354341	notree
run	SRR34354342	notree
run	SRR34354343	notree
run	SRR34354344	notree
run	SRR34354345	notree
run	SRR34354346	notree
run	SRR34354347	notree
run	SRR34354350	notree
run	SRR34354351	notree
run	SRR34354352	notree
run	SRR34354353	notree
run	SRR34354354	notree
run	SRR34354355	notree
run	SRR34354356	notree
run	SRR34354357	notree
run	SRR34354358	notree
run	SRR34354336	notree
run	SRR34354338	notree
run	SRR34354339	notree
run	SRR34354340	notree
run	SRR34631304	notree
run	SRR34631303	notree
run	SRR34631302	notree
run	SRR34631301	notree
run	SRR34631300	notree
run	SRR34631299	notree
run	SRR34631298	notree
run	SRR34016243	notree
run	SRR34016217	notree
run	SRR34016228	notree
run	SRR34016192	notree
run	SRR34016203	notree
run	SRR34016242	notree
run	SRR34016233	notree
run	SRR34016234	notree
run	SRR34016235	notree
run	SRR34016236	notree
run	SRR34016237	notree
run	SRR34016238	notree
run	SRR34016239	notree
run	SRR34016240	notree
run	SRR34016241	notree
run	SRR34016218	notree
run	SRR34016219	notree
run	SRR34016220	notree
run	SRR34016221	notree
run	SRR34016222	notree
run	SRR34016223	notree
run	SRR34016224	notree
run	SRR34016225	notree
run	SRR34016226	notree
run	SRR34016227	notree
run	SRR34016229	notree
run	SRR34016230	notree
run	SRR34016231	notree
run	SRR34016232	notree
run	SRR34016216	notree
run	SRR34016215	notree
run	SRR34016214	notree
run	SRR34016213	notree
run	SRR34016212	notree
run	SRR34016193	notree
run	SRR34016191	notree
run	SRR34016190	notree
run	SRR34016211	notree
run	SRR34016210	notree
run	SRR34016209	notree
run	SRR34016208	notree
run	SRR34016207	notree
run	SRR34016206	notree
run	SRR34016205	notree
run	SRR34016204	notree
run	SRR34016202	notree
run	SRR34016201	notree
run	SRR34016200	notree
run	SRR34016199	notree
run	SRR34016198	notree
run	SRR34016197	notree
run	SRR34016196	notree
run	SRR34016195	notree
run	SRR34016194	notree
run	SRR34016189	notree
run	SRR34016188	notree
run	SRR34016187	notree
run	SRR34016186	notree
run	SRR34016185	notree
run	SRR34016184	notree
run	SRR33808779	notree
run	SRR33808768	notree
run	SRR33808786	notree
run	SRR33808785	notree
run	SRR33808784	notree
run	SRR33808783	notree
run	SRR33808782	notree
run	SRR33808781	notree
run	SRR33808780	notree
run	SRR33808778	notree
run	SRR33808777	notree
run	SRR33808776	notree
run	SRR33808775	notree
run	SRR33808774	notree
run	SRR33808773	notree
run	SRR33808772	notree
run	SRR33808771	notree
run	SRR33808770	notree
run	SRR33808769	notree
run	SRR33808767	notree
run	SRR33808766	notree
run	SRR33808765	notree
run	SRR33808764	notree
run	SRR33808763	notree
run	SRR33808762	notree
run	SRR33808761	notree
run	SRR33808760	notree
run	SRR33808759	notree
run	SRR34016255	notree
run	SRR34016254	notree
run	SRR34016253	notree
run	SRR34016252	notree
run	SRR34016251	notree
run	SRR34016250	notree
run	SRR34016249	notree
run	SRR34016248	notree
run	SRR34016247	notree
run	SRR34016246	notree
run	SRR34016245	notree
run	SRR34016244	notree
run	SRR33808846	notree
run	SRR33808835	notree
run	SRR33808824	notree
run	SRR33808812	notree
run	SRR33808801	notree
run	SRR33808790	notree
run	SRR33808845	notree
run	SRR33808844	notree
run	SRR33808843	notree
run	SRR33808842	notree
run	SRR33808841	notree
run	SRR33808840	notree
run	SRR33808839	notree
run	SRR33808838	notree
run	SRR33808837	notree
run	SRR33808836	notree
run	SRR33808834	notree
run	SRR33808833	notree
run	SRR33808832	notree
run	SRR33808831	notree
run	SRR33808830	notree
run	SRR33808829	notree
run	SRR33808828	notree
run	SRR33808827	notree
run	SRR33808826	notree
run	SRR33808825	notree
run	SRR33808822	notree
run	SRR33808821	notree
run	SRR33808820	notree
run	SRR33808819	notree
run	SRR33808818	notree
run	SRR33808817	notree
run	SRR33808816	notree
run	SRR33808815	notree
run	SRR33808814	notree
run	SRR33808813	notree
run	SRR33808811	notree
run	SRR33808810	notree
run	SRR33808809	notree
run	SRR33808808	notree
run	SRR33808807	notree
run	SRR33808806	notree
run	SRR33808805	notree
run	SRR33808804	notree
run	SRR33808803	notree
run	SRR33808802	notree
run	SRR33808800	notree
run	SRR33808799	notree
run	SRR33808798	notree
run	SRR33808797	notree
run	SRR33808796	notree
run	SRR33808795	notree
run	SRR33808794	notree
run	SRR33808793	notree
run	SRR33808792	notree
run	SRR33808791	notree
run	SRR33808789	notree
run	SRR33808788	notree
run	SRR33808787	notree
run	SRR33808823	notree
run	SRR33790320	notree
run	SRR33790309	notree
run	SRR33790325	notree
run	SRR33790324	notree
run	SRR33790323	notree
run	SRR33790322	notree
run	SRR33790321	notree
run	SRR33790319	notree
run	SRR33790318	notree
run	SRR33790317	notree
run	SRR33790316	notree
run	SRR33790315	notree
run	SRR33790314	notree
run	SRR33790313	notree
run	SRR33790312	notree
run	SRR33790311	notree
run	SRR33790310	notree
run	SRR33790308	notree
run	SRR33790307	notree
run	SRR33790306	notree
run	SRR33790305	notree
run	SRR33790304	notree
run	SRR33790303	notree
run	SRR33790302	notree
run	SRR33790301	notree
run	SRR33790300	notree
run	SRR33790299	notree
run	SRR33808859	notree
run	SRR33808858	notree
run	SRR33808857	notree
run	SRR33808855	notree
run	SRR33808854	notree
run	SRR33808853	notree
run	SRR33808852	notree
run	SRR33808851	notree
run	SRR33808850	notree
run	SRR33808849	notree
run	SRR33808848	notree
run	SRR33808847	notree
run	SRR33808856	notree
run	SRR33790375	notree
run	SRR33790364	notree
run	SRR33790353	notree
run	SRR33790342	notree
run	SRR33790331	notree
run	SRR33790385	notree
run	SRR33790384	notree
run	SRR33790383	notree
run	SRR33790382	notree
run	SRR33790381	notree
run	SRR33790380	notree
run	SRR33790379	notree
run	SRR33790378	notree
run	SRR33790377	notree
run	SRR33790376	notree
run	SRR33790374	notree
run	SRR33790373	notree
run	SRR33790372	notree
run	SRR33790371	notree
run	SRR33790370	notree
run	SRR33790369	notree
run	SRR33790368	notree
run	SRR33790367	notree
run	SRR33790366	notree
run	SRR33790365	notree
run	SRR33790363	notree
run	SRR33790362	notree
run	SRR33790361	notree
run	SRR33790360	notree
run	SRR33790359	notree
run	SRR33790358	notree
run	SRR33790339	notree
run	SRR33790327	notree
run	SRR33790357	notree
run	SRR33790356	notree
run	SRR33790355	notree
run	SRR33790354	notree
run	SRR33790352	notree
run	SRR33790351	notree
run	SRR33790350	notree
run	SRR33790349	notree
run	SRR33790348	notree
run	SRR33790347	notree
run	SRR33790346	notree
run	SRR33790345	notree
run	SRR33790344	notree
run	SRR33790343	notree
run	SRR33790341	notree
run	SRR33790340	notree
run	SRR33790338	notree
run	SRR33790337	notree
run	SRR33790336	notree
run	SRR33790335	notree
run	SRR33790334	notree
run	SRR33790333	notree
run	SRR33790332	notree
run	SRR33790330	notree
run	SRR33790329	notree
run	SRR33790328	notree
run	SRR33790326	notree
run	SRR33790386	notree
run	SRR33790424	notree
run	SRR33790413	notree
run	SRR33790402	notree
run	SRR33790391	notree
run	SRR33790390	notree
run	SRR33790389	notree
run	SRR33790388	notree
run	SRR33790387	notree
run	SRR33790425	notree
run	SRR33790423	notree
run	SRR33790422	notree
run	SRR33790421	notree
run	SRR33790420	notree
run	SRR33790419	notree
run	SRR33790418	notree
run	SRR33790417	notree
run	SRR33790416	notree
run	SRR33790415	notree
run	SRR33790414	notree
run	SRR33790412	notree
run	SRR33790411	notree
run	SRR33790410	notree
run	SRR33790409	notree
run	SRR33790408	notree
run	SRR33790407	notree
run	SRR33790406	notree
run	SRR33790405	notree
run	SRR33790404	notree
run	SRR33790403	notree
run	SRR33790401	notree
run	SRR33790400	notree
run	SRR33790399	notree
run	SRR33790398	notree
run	SRR33790397	notree
run	SRR33790396	notree
run	SRR33790395	notree
run	SRR33790394	notree
run	SRR33790393	notree
run	SRR33790392	notree
run	SRR33789541	notree
run	SRR33789530	notree
run	SRR33789519	notree
run	SRR33789545	notree
run	SRR33789544	notree
run	SRR33789543	notree
run	SRR33789542	notree
run	SRR33789540	notree
run	SRR33789539	notree
run	SRR33789538	notree
run	SRR33789537	notree
run	SRR33789536	notree
run	SRR33789535	notree
run	SRR33789534	notree
run	SRR33789533	notree
run	SRR33789532	notree
run	SRR33789531	notree
run	SRR33789529	notree
run	SRR33789528	notree
run	SRR33789527	notree
run	SRR33789526	notree
run	SRR33789525	notree
run	SRR33789524	notree
run	SRR33789523	notree
run	SRR33789522	notree
run	SRR33789521	notree
run	SRR33789520	notree
run	SRR33789518	notree
run	SRR33789517	notree
run	SRR33789516	notree
run	SRR33789515	notree
run	SRR33789514	notree
run	SRR33789513	notree
run	SRR33789512	notree
run	SRR33789511	notree
run	SRR33789510	notree
run	SRR33789509	notree
run	SRR33790448	notree
run	SRR33790447	notree
run	SRR33790446	notree
run	SRR33790435	notree
run	SRR33790445	notree
run	SRR33790444	notree
run	SRR33790443	notree
run	SRR33790442	notree
